subject	measure	region
N001	91	brainstem
N001	70	brainstem
N001	92	cerebellum
N001	81	cerebellum
N001	63	cortex
N001	88	cortex
N005	94	brainstem
N005	103	brainstem
N005	119	cerebellum
N005	109	cerebellum
N005	80	cortex
N005	111	cortex
N010	85	brainstem
N010	78	brainstem
N010	80	cerebellum
N010	68	cerebellum
N010	65	cortex
N010	110	cortex
N013	81	brainstem
N013	71	brainstem
N013	81	cerebellum
N013	69	cerebellum
N013	78	cortex
N013	84	cortex
N101	41	brainstem
N101	37	brainstem
N101	67	cerebellum
N101	54	cerebellum
N101	41	cortex
N101	50	cortex
N104	38	brainstem
N104	44	brainstem
N104	46	cerebellum
N104	56	cerebellum
N104	76	cortex
N104	43	cortex
N107	63	brainstem
N107	48	brainstem
N107	59	cerebellum
N107	61	cerebellum
N107	53	cortex
N107	55	cortex
N109	58	brainstem
N109	64	brainstem
N109	59	cerebellum
N109	63	cerebellum
N109	51	cortex
N109	34	cortex
N111	55	brainstem
N111	65	brainstem
N111	77	cerebellum
N111	85	cerebellum
N111	83	cortex
N111	77	cortex
